İhaleyi Veren Kurum;İhale Detayları
Mesleki ve Teknik Anadolu Lisesi- MİLLİ EĞİTİM BAKANLIĞI BAKAN YARDIMCILIKLARI;BEKOLEODER OPERATÖR EĞİTİM SİMÜLATÖRÜ VE KAYNAK EĞİTİM SİMÜLATÖRÜ ALIMI | 2016/348209 | ANKARA, 30.09.2016 09:00
Mesleki ve Teknik Anadolu Lisesi- MİLLİ EĞİTİM BAKANLIĞI BAKAN YARDIMCILIKLARI;BEKOLEODER OPERATÖR EĞİTİM SİMÜLATÖRÜ VE KAYNAK EĞİTİM SİMÜLATÖRÜ ALIMI | 2016/348209 | ANKARA, 30.09.2016 09:00
ANKARA TED.BLG.BŞK (MSB) MİLLİ SAVUNMA BAKANLIĞI MSB BAĞLILARI;PAKET BİLGİSAYAR YAZILIMLARI | 2016/290695 | ANKARA, 26.08.2016 10:00
ANKARA TED.BLG.BŞK (MSB) MİLLİ SAVUNMA BAKANLIĞI MSB BAĞLILARI;PAKET BİLGİSAYAR YAZILIMLARI | 2016/290695 | ANKARA, 26.08.2016 10:00
TÜRKİYE RAYLI SİSTEM ARAÇLARI SANAYİİ ANONİM ŞİRKETİ (TÜRASAŞ) Sivas Bölge Müdürlüğü;SANALLAŞTIRMA VE FELAKET KURTARMA MERKEZİ | 2014/152567 | SİVAS, 12.12.2014 14:30
TÜRKİYE RAYLI SİSTEM ARAÇLARI SANAYİİ ANONİM ŞİRKETİ (TÜRASAŞ) Sivas Bölge Müdürlüğü;SANALLAŞTIRMA VE FELAKET KURTARMA MERKEZİ | 2014/152567 | SİVAS, 12.12.2014 14:30
İstanbul Fatih Kamu Hastane Birliği Genel Sekreterliği SAĞLIK BAKANLIĞI TÜRKİYE KAMU HASTANELERİ KURUMU;Bağlı Hastaneler İhtiyacı 3 Kısım Kamera Sistemi ve Pnömatik Tüp Taşıma Sistemi Alımı | 2014/14852 | İSTANBUL, 13.03.2014 10:00
İstanbul Fatih Kamu Hastane Birliği Genel Sekreterliği SAĞLIK BAKANLIĞI TÜRKİYE KAMU HASTANELERİ KURUMU;Bağlı Hastaneler İhtiyacı 3 Kısım Kamera Sistemi ve Pnömatik Tüp Taşıma Sistemi Alımı | 2014/14852 | İSTANBUL, 13.03.2014 10:00
İSTANBUL BÜYÜKŞEHİR BELEDİYESİ;Akaryakıt Tank Ve Pompa Otomasyon Sistemi Ve Taşıt Tanıma Ünitesi Alımı İşi | 2013/28696 | İSTANBUL, 04.04.2013 10:00
İSTANBUL BÜYÜKŞEHİR BELEDİYESİ;Akaryakıt Tank Ve Pompa Otomasyon Sistemi Ve Taşıt Tanıma Ünitesi Alımı İşi | 2013/28696 | İSTANBUL, 04.04.2013 10:00
İl Özel İdaresi Ağız ve Diş Hastalıkları Hastanesi SAĞLIK BAKANLIĞI BAKAN YARDIMCILIKLARI;01/04/2012-31/12/2014 YILLARI HASTANE BİLGİ YÖNETİM SİSTEMİ HİZMET ALIMI İHALESİ | 2011/184848 | İSTANBUL, 13.01.2012 14:00
İl Özel İdaresi Ağız ve Diş Hastalıkları Hastanesi SAĞLIK BAKANLIĞI BAKAN YARDIMCILIKLARI;01/04/2012-31/12/2014 YILLARI HASTANE BİLGİ YÖNETİM SİSTEMİ HİZMET ALIMI İHALESİ | 2011/184848 | İSTANBUL, 13.01.2012 14:00
Ankara Eğitim ve Araştırma Hastanesi SAĞLIK BAKANLIĞI BAKAN YARDIMCILIKLARI;2012 -2014 MALİ YILLARI HASTANE BİLGİ SİSTEMİ HİZMET SATIN ALIMI İHALESİ | 2011/161626 | ANKARA, 30.11.2011 10:00
Ankara Eğitim ve Araştırma Hastanesi SAĞLIK BAKANLIĞI BAKAN YARDIMCILIKLARI;2012 -2014 MALİ YILLARI HASTANE BİLGİ SİSTEMİ HİZMET SATIN ALIMI İHALESİ | 2011/161626 | ANKARA, 30.11.2011 10:00
Devlet Hastanesi -Akçakale SAĞLIK BAKANLIĞI BAKAN YARDIMCILIKLARI;DİCOM YAZILIM SERVİS HİZMETİ | 2011/183824 | ŞANLIURFA, 28.11.2011 10:00
Devlet Hastanesi -Akçakale SAĞLIK BAKANLIĞI BAKAN YARDIMCILIKLARI;DİCOM YAZILIM SERVİS HİZMETİ | 2011/183824 | ŞANLIURFA, 28.11.2011 10:00
Eğitim ve Araştırma Hastanesi-Şişli Etfal SAĞLIK BAKANLIĞI BAKAN YARDIMCILIKLARI;MAVİ KOD, PEMBE KOD, ACİL SERVİS ÇAĞRI SİSTEMİ | 2010/511269 | İSTANBUL, 14.10.2010 10:00
Eğitim ve Araştırma Hastanesi-Şişli Etfal SAĞLIK BAKANLIĞI BAKAN YARDIMCILIKLARI;MAVİ KOD, PEMBE KOD, ACİL SERVİS ÇAĞRI SİSTEMİ | 2010/511269 | İSTANBUL, 14.10.2010 10:00
ÇEVRE VE ŞEHİRCİLİK BAKANLIĞI MÜSTEŞARLIK Yapı İşleri Genel Müdürlüğü;Bayındırlık ve İskân Bakanlığı Proje Tarama Hizmeti ve Proje Arşiv Yazılımı Temini İşi | 2010/502731 | ANKARA, 14.10.2010 10:00
ÇEVRE VE ŞEHİRCİLİK BAKANLIĞI MÜSTEŞARLIK Yapı İşleri Genel Müdürlüğü;Bayındırlık ve İskân Bakanlığı Proje Tarama Hizmeti ve Proje Arşiv Yazılımı Temini İşi | 2010/502731 | ANKARA, 14.10.2010 10:00
